Category,Name,Couriers
regular,Waktu Pengiriman 2-3 Hari,"BukaExpress REG, J&T REG, SiCepat REG, SiCepat HALU, NINJA REG, Anteraja REG, Lion Parcel REGPACK, TIKI Reg, Alfatrex REG Dikirim ke Alamat Pengiriman, Alfatrex REG Ambil di Minimarket, JNE REG, JNE Trucking, Pos Kilat Khusus, Wahana Tarif Normal, Ambil Sendiri, RPX Economy Package, Kurir Pelapak, Janio, Janio XPR, Bayar di Tempat (COD), Kurir Lapak, Indah Logistik REG"
fast,Waktu Pengiriman 1 Hari,"SiCepat BEST, NINJA FAST, Anteraja Next Day, Lion Parcel ONEPACK, TIKI ONS, Alfatrex Next Day Dikirim ke Alamat Pengiriman, Alfatrex Next Day Ambil di Minimarket, JNE YES, Pos Next Day, RPX Next Day Package, Alfatrex Next Day, RPX Next Day Package Bukaemas, Pos Express Next Day Service"
oneday,Waktu Pengiriman 2-6 Jam,"Grab Same Day, Grab Instant, Rocket Delivery, Anteraja Same Day, GO-SEND Same Day, GO-SEND Instant, Paxel Same Day"
